,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,yhat
0,2017-09-26 08:42:10,6.332052108114641,6.332052108114641,6.332052108114641,1.7557566817763532,10.996543851776035,0.0,0.0,0.0,6.332052108114641
1,2017-09-26 12:11:07,5.258211365909045,5.258211365909045,5.258211365909045,0.5181877448159762,10.03613409464938,0.0,0.0,0.0,5.258211365909045
2,2017-09-26 13:16:26,4.922534421969472,4.922534421969472,4.922534421969472,0.0787156730574055,10.040958719832682,0.0,0.0,0.0,4.922534421969472
3,2017-09-26 14:21:50,4.58642920858455,4.58642920858455,4.58642920858455,-0.258178195101885,9.252607320589599,0.0,0.0,0.0,4.58642920858455
4,2017-09-26 15:27:10,4.250666608176705,4.250666608176705,4.250666608176705,-0.598934598060862,9.257653365373383,0.0,0.0,0.0,4.250666608176705
5,2017-09-26 16:32:27,3.915160967694976,3.915160967694976,3.915160967694976,-0.7759301074849153,8.759361061854907,0.0,0.0,0.0,3.915160967694976
6,2017-09-26 17:37:48,3.5793127124877517,3.5793127124877517,3.5793127124877517,-1.4482273871513547,8.534101629164875,0.0,0.0,0.0,3.5793127124877517
7,2017-09-26 18:43:11,3.2432807007311086,3.2432807007311086,3.2432807007311086,-1.605158383500308,7.855576445486411,0.0,0.0,0.0,3.2432807007311086
8,2017-09-26 19:48:33,2.907334346125827,2.907334346125827,2.907334346125827,-1.8457416891497762,7.736826632992749,0.0,0.0,0.0,2.907334346125827
9,2017-09-26 20:53:55,2.5713879906937174,2.5713879906937174,2.5713879906937174,-2.3809940987069025,7.5864326806660225,0.0,0.0,0.0,2.5713879906937174
10,2017-09-26 21:59:14,2.235698604254847,2.235698604254847,2.235698604254847,-2.6086069220236494,7.144223499934017,0.0,0.0,0.0,2.235698604254847
11,2017-09-26 23:04:34,1.8999235609171663,1.8999235609171663,1.8999235609171663,-2.8135731979240113,6.275240785468077,0.0,0.0,0.0,1.8999235609171663
12,2017-09-27 00:09:53,1.5642341820195105,1.5642341820195105,1.5642341820195105,-3.5140415524042905,6.234817306494506,0.0,0.0,0.0,1.5642341820195105
13,2017-09-27 01:15:12,1.2285448027777526,1.2285448027777526,1.2285448027777526,-3.566621261338332,5.959246014303404,0.0,0.0,0.0,1.2285448027777526
14,2017-09-27 02:20:29,0.8930267366332069,0.8930267366332069,0.8930267366332069,-3.563607979752245,5.673775447093801,0.0,0.0,0.0,0.8930267366332069
15,2017-09-27 03:25:49,0.5572516980013846,0.5572516980013846,0.5572516980013846,-4.328598821253779,5.449956146355843,0.0,0.0,0.0,0.5572516980013846
16,2017-09-27 04:31:07,0.22164797180555829,0.22164797180555829,0.22164797180555829,-4.538887503538362,4.821594898537505,0.0,0.0,0.0,0.22164797180555829
17,2017-09-27 05:36:27,-0.11412706781630311,-0.11412706781630311,-0.11412706781630311,-4.817815720479077,4.653752440163889,0.0,0.0,0.0,-0.11412706781630311
18,2017-09-27 06:41:43,-0.44955947760602866,-0.44955947760602866,-0.44955947760602866,-5.468952699112958,4.269425908964938,0.0,0.0,0.0,-0.44955947760602866
19,2017-09-27 07:46:59,-0.7849918908240988,-0.7849918908240988,-0.7849918908240988,-5.847958632362733,4.2476699159217395,0.0,0.0,0.0,-0.7849918908240988
20,2017-09-27 08:52:17,-1.120595614644559,-1.120595614644559,-1.120595614644559,-5.692204246988233,3.834734021413347,0.0,0.0,0.0,-1.120595614644559
21,2017-09-27 09:57:33,-1.4560280249418158,-1.4560280249418158,-1.4560280249418158,-6.368631344319808,3.060939156862024,0.0,0.0,0.0,-1.4560280249418158
22,2017-09-27 11:02:51,-1.7916317490339164,-1.7916317490339164,-1.7916317490339164,-6.533059707824718,2.970953786204552,0.0,0.0,0.0,-1.7916317490339164
23,2017-09-27 12:08:12,-2.1274924438182743,-2.1274924438182743,-2.1274924438182743,-6.631344132764832,2.751574238958241,0.0,0.0,0.0,-2.1274924438182743
24,2017-09-27 13:13:32,-2.4632674817052136,-2.4632674817052136,-2.4632674817052136,-7.720817666383587,2.023790034015077,0.0,0.0,0.0,-2.4632674817052136
25,2017-09-27 14:13:32,-2.771632312417708,-2.77163256102031,-2.771632015735581,-7.606651646417218,2.1912675903307104,0.0,0.0,0.0,-2.771632312417708
26,2017-09-27 15:13:32,-3.079997143130204,-3.0799981920479516,-3.079996020537928,-7.717908602086967,1.4963841162520701,0.0,0.0,0.0,-3.079997143130204
27,2017-09-27 16:13:32,-3.388361973842698,-3.3883640436449993,-3.38835965806462,-8.17949264633644,1.5109055926039023,0.0,0.0,0.0,-3.388361973842698
28,2017-09-27 17:13:32,-3.6967268045551926,-3.6967299915115235,-3.696723206743927,-8.526038849450451,1.3128188018121874,0.0,0.0,0.0,-3.6967268045551926
29,2017-09-27 18:13:32,-4.005091635267689,-4.0050965574733315,-4.005086330127554,-8.991538499268044,1.031743881263122,0.0,0.0,0.0,-4.005091635267689
30,2017-09-27 19:13:32,-4.313456465980184,-4.313463422145993,-4.313449370276584,-9.2605024130431,0.4840809238061025,0.0,0.0,0.0,-4.313456465980184
