Date-Time,Crowd Index Level
2018-09-26 08:42:10,2
2018-09-26 12:11:07,1
2018-09-26 13:16:26,1
2018-09-26 14:21:50,1
2018-09-26 15:27:10,1
2018-09-26 16:32:27,1
2018-09-26 17:37:48,2
2018-09-26 18:43:11,2
2018-09-26 19:48:33,1
2018-09-26 20:53:55,1
2018-09-26 21:59:14,1
